save to:--->  ./data/res_0924/all\beta0.005_gamma0.1_meaboth_Qx0.001_Qp0.0001_Px_0.0025_Pp0.002_Rx0.005_N50_L20
beta estimate=0.9985542530996008, gamma estimate=0.015177453617841064
beta estimate=0.9985341412318038, gamma estimate=0.015221557031362132
beta estimate=0.9985964167597232, gamma estimate=0.015297677813518429
beta estimate=0.9985296877171895, gamma estimate=0.015326881320090413
beta estimate=0.99835906270392, gamma estimate=0.015057039317393106
beta estimate=0.9981197473524686, gamma estimate=0.014951805525242723
beta estimate=0.9982167416622189, gamma estimate=0.01485871318721349
beta estimate=0.9982523929344015, gamma estimate=0.014602736180868048
beta estimate=0.9981920335149499, gamma estimate=0.014514606202967684
beta estimate=0.9985416206432223, gamma estimate=0.014592117622520995
beta estimate=0.9984889066168428, gamma estimate=0.014426897709644226
beta estimate=0.9983706668133412, gamma estimate=0.014154001991027565
beta estimate=0.9985087979675816, gamma estimate=0.014321825690988554
beta estimate=0.998699191857675, gamma estimate=0.014059650902261689
beta estimate=0.9987232145386407, gamma estimate=0.014226417776590727
beta estimate=0.998755319084071, gamma estimate=0.014152077448977951
beta estimate=0.9987535861043159, gamma estimate=0.014393261394810675
beta estimate=0.9987949628638597, gamma estimate=0.01377248907949613
beta estimate=0.998811846489996, gamma estimate=0.013752057000457507
beta estimate=0.9988194760713084, gamma estimate=0.0139749699877737
beta estimate=0.9988821199110951, gamma estimate=0.014139559715073857
beta estimate=0.998963915409481, gamma estimate=0.013774650225235163
beta estimate=0.9989579846877765, gamma estimate=0.013725620865152055
beta estimate=0.9990211731199201, gamma estimate=0.013719651366646268
beta estimate=0.9990001931967394, gamma estimate=0.013693281301758564
beta estimate=0.9990179597764872, gamma estimate=0.01381862870246181
beta estimate=0.998954680983662, gamma estimate=0.014115224693538597
beta estimate=0.9988691630859378, gamma estimate=0.014059819436246623
beta estimate=0.9990220516119175, gamma estimate=0.014016774435779422
beta estimate=0.9990557864940949, gamma estimate=0.013589492254684976
beta estimate=0.9989684270033852, gamma estimate=0.013232127119987724
beta estimate=0.9990223167387955, gamma estimate=0.01334800371312922
beta estimate=0.9990239424322234, gamma estimate=0.013162748397101243
